filenames,result,result2,result3,nnpens,nepens,eepens
graph_48,1897.4379172122394,1333.8449788373741,770.2520404625092,356.44747169029796,413.8045687722112,1127.1858767497301
graph_49,1286.03656144198,1073.6695861561518,861.3026108703235,356.4836399128586,504.8189709574649,424.7339505716564
graph_50,2243.5816265719377,1844.6429730895043,1445.7043196070708,563.6532983688644,882.0510212382064,797.8773069648669
graph_51,2848.6564827927687,2557.5349658980767,2266.4134490033844,1133.2067245016922,1133.2067245016922,582.2430337893843
graph_52,2193.2273768541727,1892.4508839891653,1591.6743911241579,644.2351748615694,947.4392162625884,601.5529857300147
graph_53,1542.0129307495,1202.2161775133522,862.4194242772044,356.485284333549,505.9341399436554,679.5935064722956
graph_54,1842.0495466891293,1527.0391665917418,1212.0287864943546,431.55259964592,780.4761868484346,630.0207601947748
graph_55,2375.8667705193566,2035.002397802962,1694.1380250865673,770.4961931881489,923.6418318984182,681.7287454327894
graph_56,1433.0318670218794,1146.452758479992,859.8736499381048,356.468358785256,503.40529115284875,573.1582170837745
graph_57,1508.1105059343113,1162.7248311620451,817.3391563897792,356.38181771802,460.95733867175915,690.7713495445321
graph_58,1878.4958485179272,1455.6789310025697,1032.8620134872124,361.99700002088485,670.8650134663276,845.6338350307149
graph_59,1797.4274536992334,1372.8122919901257,948.197130281018,356.38181771801993,591.815312562998,849.2303234182154
graph_60,1724.7392058081248,1485.8559354989866,1246.9726651898486,449.96206564944555,797.010599540403,477.76654061827617
graph_61,1268.980088912405,990.8804579825958,712.7808270527864,356.3904135263932,356.3904135263932,556.1992618596187
graph_62,2049.700992407692,1553.9856732356704,1058.2703540636487,366.8808902720472,691.3894637916014,991.4306383440435
graph_63,2044.3772232122653,1551.219217317348,1058.061211422431,365.182150683483,692.8790607389478,986.3160117898344
graph_64,1184.0926866250968,1005.9017777660869,827.7108689070769,356.38181771801993,471.329051189057,356.38181771801993
graph_65,1360.81650667019,1173.2121257129797,985.6077447557694,356.6056521876943,629.0020925680751,375.20876191442045
graph_66,1780.3905493046732,1351.4422627216295,922.493976138586,356.5430192275248,565.9509569110613,857.896573166087
graph_67,2072.9498231536227,1509.189958084949,945.4300930162751,356.5530454012414,588.8770476150338,1127.5197301373476
graph_68,1716.4187402299362,1400.8760234748768,1085.3333067198173,369.6130340526094,715.720272667208,631.085433510119
graph_69,1503.4438539368512,1162.4585025069302,821.4731510770091,356.38181771802,465.0913333589891,681.9707028598422
