filenames,result,result2,result3,nnpens,nepens,eepens
graph_121,1662.334935529845,1227.4735562898377,792.6121770498305,356.38181771801993,436.2303593318105,869.7227584800145
graph_122,1792.0386014058943,1436.6182858363572,1081.1979702668202,384.39151978484466,696.8064504819755,710.840631139074
graph_123,1897.4904836357848,1630.8496907063563,1364.2088977769279,539.7492203261588,824.459677450769,533.2815858588569
graph_124,1405.715798578598,1079.0764480580017,752.4370975374055,356.38181771801993,396.0552798193856,653.2787010411923
graph_125,1278.0766616876908,995.4201485618653,712.7636354360399,356.38181771801993,356.38181771801993,565.313026251651
graph_126,1520.8782854351673,1305.3926873065323,1089.9070891778974,383.87709600532014,706.0299931725773,430.9711962572698
graph_127,1361.4921603995108,1173.496979298325,985.5017981971394,356.6862456145098,628.8155525826296,375.9903622023714
graph_128,1797.4381135655326,1390.6111453575581,983.7841771495837,361.7773014366192,622.0068757129645,813.653936415949
graph_129,1501.7684500687737,1227.678196722999,953.5879433772243,356.487388773526,597.1005546036982,548.1805066915493
graph_130,1743.0135462849694,1501.0764474252067,1259.1393485654437,464.62946913792746,794.5098794275162,483.8741977195258
graph_131,1971.234970099013,1741.9470045954124,1512.6590390918118,588.0253570950671,924.6336819967447,458.5759310072013
graph_132,1650.0170845132345,1337.9720828297577,1025.9270811462811,371.96429246291655,653.9627886833646,624.0900033669534
graph_133,1797.696761074757,1450.58026278506,1103.4637644953632,380.2360276316267,723.2277368637366,694.2329965793939
graph_134,1857.4639383031404,1418.3950884455303,979.32623858792,362.1053408063944,617.2208977815257,878.1376997152204
graph_135,1550.2796862352116,1240.8512678036873,931.4228493721628,356.38181771801993,575.0410316541428,618.8568368630488
graph_136,1476.6842767539647,1218.144936482739,959.6055962115131,356.59944185466355,603.0061543568496,517.0786805424516
graph_137,1769.3950268659773,1379.0738498114233,988.752672756869,361.3892781525627,627.3633946043062,780.6423541091085
graph_138,1515.4663561973362,1156.4425553510514,797.4187545047665,356.41355171767555,441.005202787091,718.0476016925695
graph_139,2198.3191309647914,1926.2463429604131,1654.1735549560349,703.5091700442628,950.6643849117722,544.1455760087564
